rank,company_name,industry,sub_industry,bbd_qyxx_id
1,中国石油天然气股份有限公司,新能源,氢能,75bc298cf6bb4cbf9beb8ca55b0120d6
1,阿里巴巴（中国）网络技术有限公司,新一代信息技术,云计算,ace43c69b87b44abb325fd644754bdca
1,金发科技股份有限公司,新材料,高性能复合材料,6b39da97709b4d4f8fa6f866a78a9236
1,国家核电技术有限公司,新能源,核电,ba8695c0825d465595703674e01a0de1
1,京东方科技集团股份有限公司,新材料,新型无机非金属材料,f2da86033dc249a5955a76e51d24e129
1,中国石油天然气股份有限公司,新能源,氢能,3ca0f7c4c24b42c79cdd5003081f3cc9
1,中国宝武钢铁集团有限公司,新材料,高端金属结构材料,b10dec5cdae34ce4879af5fb26c6f0c2
1,北京奇虎科技有限公司,新一代信息技术,下一代通信技术,05aa2198c8a1494f92c20f6eca093f4e
1,新疆金风科技股份有限公司,新能源,风电,c45a3c4a37bd4808a097695933119e50
1,天合光能股份有限公司,新能源,光伏,f360cdf2210244ffa9bed807501dd08b
1,西部超导材料科技股份有限公司,新材料,前沿新材料,6d45e7e561da46a5b4be7c25705be085
1,江西铜业股份有限公司,新材料,特种金属功能材料,42e08a1108d949539a6b87d7927025e7
1,万华化学集团股份有限公司,新材料,先进高分子材料,d391b4ed2e2543978050727dc3386ebf
1,中国移动通信集团有限公司,新一代信息技术,物联网,5d3d22c37893404fb6c5009343954761
1,江苏长电科技股份有限公司,新一代信息技术,集成电路,f51f12b044894f5d8ada8fd7efe3e03c
2,武汉中地资环工研院管理有限公司,新能源,氢能,2aa902dd34ee4dcea6d6ecb87d5e26d5
2,隆基绿能科技股份有限公司,新能源,光伏,30d94cfffcab45aebb37cbd51240e4eb
2,中国核工业集团有限公司,新能源,核电,14de3360b0974b279e06212ab24b0023
2,威海光威复合材料股份有限公司,新材料,高性能复合材料,84404c674ded41b0bc98e59d66d55576
2,江阴江化微电子材料股份有限公司,新材料,先进高分子材料,a5499560d28c4092844235226e77b3c6
2,五矿发展股份有限公司,新材料,特种金属功能材料,b9f1881bbd88452cbb73c615c4e2ddf6
2,上海电气集团股份有限公司,新能源,风电,2b36b99bcd0446339f08d2c5acdff8fe
2,河钢股份有限公司,新材料,高端金属结构材料,deb11038b3d442528cef022938c47e8a
2,三安光电股份有限公司,新材料,新型无机非金属材料,a6e1654707384b09a9170cbe8c7c1890
2,航天云网科技发展有限责任公司,新一代信息技术,物联网,7ad72cb46b2a44ffae04a403a0964495
2,法尔胜泓昇集团有限公司,新材料,前沿新材料,566dd7407d3557cd6adc565d26a38efc
2,中国电信集团有限公司,新一代信息技术,云计算,19d0b6f732c1421e99de8ff3f02393b7
2,广联达科技股份有限公司,新一代信息技术,下一代通信技术,9526fd599c6241ba998de530aec44ee7
2,三星（中国）半导体有限公司,新一代信息技术,集成电路,308649b79401412f93301086869db3af
3,江苏沙钢集团有限公司,新材料,高端金属结构材料,7f02796525ad41d29f5a421c832da330
3,康得新复合材料集团股份有限公司,新材料,高性能复合材料,d69e81049151443da448d0623de39a07
3,中芯国际集成电路制造（上海）有限公司,新一代信息技术,集成电路,e1a58d8260ab46ff8b95d342e254c240
3,中国航天科技集团有限公司,新一代信息技术,物联网,2306d78ec2374e48871349db4d567952
3,上海普利特复合材料股份有限公司,新材料,前沿新材料,7ae5e6d4372549a59edf565a2ffe1679
3,湘潭电机股份有限公司,新能源,风电,1560b13a8584481e881473a412c047bf
3,大亚湾核电运营管理有限责任公司,新能源,核电,5dad35ae5c294fbba6ed490595119e8c
3,晶澳太阳能有限公司,新能源,光伏,f5996bc5edad4d14b9e66eab8e4a2fb5
